id_local,nombre,categoria,direccion,barrio,comuna
818,LUCKY'S,RESTAURANTE,TUCUMAN 3099,Balvanera,Comuna 3
296,LULY CAFE,RESTAURANTE,BERUTI 3796,Palermo,Comuna 14
2791,LUNA,CAFE,"RIVERA, FRUCTUOSO, GENERAL 2358",Villa Soldati,Comuna 8
1823,LUNA CAFE,CAFE,BILLINGHURST 2202,Recoleta,Comuna 2
2385,LUNA YIP,RESTAURANTE,BOUCHARD 474,San Nicolas,Comuna 1
1023,MACARENA,RESTAURANTE,RIVADAVIA AV. 5499,Caballito,Comuna 6
819,MACONDO,RESTAURANTE,BELGRANO AV. 2101,Balvanera,Comuna 3
1439,MADAME MARTOS,RESTAURANTE,MORENO 360,Monserrat,Comuna 1
2386,MADERO CITY,RESTAURANTE,CORRIENTES AV. 212,San Nicolas,Comuna 1
2388,MADRID CAFE,RESTAURANTE,CERRITO 470,San Nicolas,Comuna 1
297,MAFALDA,RESTAURANTE,BERUTI 3816,Palermo,Comuna 14
1617,MAGNOLIA,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 1007",Puerto Madero,Comuna 1
2807,MAGRITTE,,OLAZABAL 2206,Belgrano,Comuna 13
1491,MAILIN,CAFE,CHICLANA AV. 4258,Nueva Pompeya,Comuna 4
1179,MAIS UM BARRACAS BAR,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 2829",Flores,Comuna 7
299,MAITE,CAFE,LAS HERAS GENERAL AV. 3786,Palermo,Comuna 14
526,MAIZALES,RESTAURANTE,MONROE 2801,Belgrano,Comuna 13
1025,MAIZALES,RESTAURANTE,"MORENO, JOSE MARIA AV. 335",Caballito,Comuna 6
298,MAKORI,CAFE,SANTA FE AV. 4202,Palermo,Comuna 14
300,MALASARTES,RESTAURANTE,HONDURAS 4999,Palermo,Comuna 14
301,MALDITO SALVADOR,RESTAURANTE,EL SALVADOR 4960,Palermo,Comuna 14
642,MALEVO,RESTAURANTE,"BRAVO, MARIO 908",Almagro,Comuna 5
1442,MALLORCA,RESTAURANTE,BELGRANO AV. 695,Monserrat,Comuna 1
302,MALOUVA,RESTAURANTE,CHARCAS 4401,Palermo,Comuna 14
303,MALUVA PIZZA,RESTAURANTE,SANCHEZ DE BUSTAMANTE 2014,Recoleta,Comuna 2
644,MAMA CATA,RESTAURANTE,RIVADAVIA AV. 3500,Almagro,Comuna 5
820,MAMA JACINTA,RESTAURANTE,TUCUMAN 2580,Balvanera,Comuna 3
305,MAMA RACHA,RESTAURANTE,COSTA RICA 4602,Palermo,Comuna 14
1026,MAMARELLA,RESTAURANTE,CAMPICHUELO 200,Caballito,Comuna 6
304,MAMBO,RESTAURANTE,BAEZ 243,Palermo,Comuna 14
949,MAMMA SILVIA,RESTAURANTE,LA PLATA AV. 1988,Boedo,Comuna 5
306,MAMMA ZN,RESTAURANTE,HUMBOLDT 1645,Palermo,Comuna 14
821,MAÃƒâ€˜ANA'S,RESTAURANTE,CALLAO AV. 734,Balvanera,Comuna 3
